Year;recruitment;high_recruitment;low_recruitment;low_SSB;SSB;high_SSB;catches;landings;discards;low_F;F;high_F;StockPublishNote;Purpose;Fage;fishstock;recruitment_age;AssessmentYear;units;stockSizeDescription;stockSizeUnits;fishingPressureDescription;fishingPressureUnits;SP
2003;349;465;233;4332;4840;5348;;2326;;0.277;0.291;0.305;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;3399
2004;2178;2469;1888;5361;5913;6466;;3258;;0.313;0.331;0.349;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;4200
2005;1376;1616;1136;6251;6855;7460;;3827;;0.362;0.383;0.404;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;3549
2006;1298;1485;1110;5934;6577;7220;;2998;;0.323;0.341;0.359;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2789
2007;724;875;573;5671;6368;7066;;2377;;0.258;0.275;0.292;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2750
2008;796;956;636;5976;6741;7506;;2372;;0.237;0.254;0.271;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2771
2009;909;1089;730;6310;7140;7970;;2307;;0.231;0.25;0.269;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2439
2010;1580;1853;1306;6372;7272;8172;;1620;;0.164;0.178;0.192;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1988
2011;1243;1512;974;6648;7640;8631;;1156;;0.118;0.128;0.138;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1982
2012;563;741;385;7365;8466;9567;;1396;;0.122;0.133;0.144;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2432
2013;882;1107;657;8258;9502;10745;;1540;;0.118;0.13;0.142;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2752
2014;1740;2098;1382;9274;10714;12153;;2033;;0.142;0.159;0.176;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2658
2015;262;371;154;9667;11339;13011;;1771;;0.123;0.137;0.151;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2328
2016;212;296;129;9953;11896;13839;;1809;;0.123;0.142;0.161;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2345
2017;185;262;108;10147;12432;14716;;1447;;0.092;0.111;0.13;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2131
2018;353;537;168;10443;13116;15790;;1153;;0.074;0.093;0.112;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1514
2019;712;;;10464;13477;16490;;;;;;;Stock published;Advice;;mon.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;
